Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Random Date
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338,2002-07-02
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317,2009-06-21
BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.6,7.2,9.1,31,209,2021-01-28
BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,13.2,8.9,11.3,25,260,2007-12-01
BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,11.2,8.5,10.0,28,230,2011-03-17
BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253,2003-04-10
BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,12.9,8.8,11.1,25,255,2008-01-09
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320,2015-04-11
BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370,2011-07-11
BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,13.6,9.8,11.9,24,274,2001-03-17
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324,2003-02-13
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,31,209,2014-01-30
BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.4,6.7,8.7,32,200,2001-10-09
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278,2006-03-24
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253,2017-07-02
BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.7,10.1,12.1,23,278,2016-07-12
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,2015-11-22
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,2013-02-09
BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196,2006-01-10
BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212,2002-02-14
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264,2004-04-05
BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250,2015-09-29
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264,2015-08-31
BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.4,13.0,16.5,17,264,2012-05-27
BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,2015-03-20
BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,2020-08-26
BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.6,7.5,9.8,29,225,2018-10-08
BUICK,REGAL AWD,MID-SIZE,2.0,4,AS6,Z,12.3,8.7,10.7,26,246,2000-07-26
BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,2016-01-28
BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,2003-09-18
BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,29,225,2018-05-07
BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218,2011-11-17
CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,29,221,2002-01-23
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.1,7.9,10.2,28,235,2021-06-05
CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,31,207,2009-01-26
CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251,2015-01-22
CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.8,8.1,10.1,28,232,2021-06-14
CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.1,9.0,11.3,25,260,2012-07-16
CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258,2010-08-30
CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS6,X,13.3,9.0,11.4,25,262,2007-07-26
CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS6,Z,11.9,7.9,10.1,28,232,2006-11-11
CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248,2019-12-21
CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS6,Z,12.6,8.5,10.8,26,248,2015-10-21
CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS6,X,13.1,9.0,11.3,25,260,2012-06-14
CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294,2003-12-26
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,12.7,8.9,11.0,26,253,2000-09-16
CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260,2021-04-29
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,12.8,9.1,11.1,25,255,2013-01-25
CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,9.0,11.4,25,262,2015-11-12
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,2018-11-29
CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,2014-08-30
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,2005-03-26
CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340,2012-06-06
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,2017-02-09
CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340,2016-06-03
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,19,338,2011-06-04
CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,2002-09-11
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377,2005-08-14
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354,2012-04-13
CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283,2002-02-24
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294,2017-07-06
CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262,2001-08-22
CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,24,271,2001-03-15
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290,2006-02-07
CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258,2020-10-05
CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269,2009-11-15
CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242,2006-01-03
CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294,2012-08-26
CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15.0,9.9,12.7,22,292,2000-03-31
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382,2011-05-12
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340,2013-02-22
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12.0,24,276,2007-09-13
CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258,2003-12-06
CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179,2008-11-15
CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179,2016-06-26
CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202,2007-08-29
CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189,2019-05-23
CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS6,D,8.7,5.1,7.1,40,192,2004-02-23
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6.0,7.7,37,177,2010-04-27
CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163,2016-07-27
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,2000-07-31
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12.0,24,276,2012-08-08
CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259,2005-10-06
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230,2020-07-02
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290,2006-08-19
CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272,2016-05-28
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347,2003-11-21
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366,2009-01-16
CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,2020-08-18
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,2013-05-06
CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344,2011-03-12
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380,2005-12-17
CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344,2003-12-01
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380,2007-01-09
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362,2017-04-01
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380,2016-02-27
CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344,2004-01-21
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380,2012-03-24
CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362,2019-10-25
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.1,14.2,18.0,16,414,2006-04-13
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,21.9,15.0,18.8,15,432,2006-08-02
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.0,20.4,25.7,11,411,2000-12-18
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419,2001-04-20
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.1,15.0,18.9,15,435,2017-10-12
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,E,30.2,20.5,25.8,11,413,2015-12-13
CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221,2017-02-11
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244,2001-09-01
CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229,2011-08-06
CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS6,X,10.0,7.0,8.7,32,200,2020-07-17
